

29/02/2024 14:46:41
Estação:SRVHOM01
Tipo:Produtos
Arquivo:C:\Users\Administrador.PLASSER\Documents\tecwin\teste\ImportandoTemp\intTecwin_2024-02-29.txt
Erro:
 29/02/2024 14:35- Inicio da importação do arquivo: C:\Users\Administrador.PLASSER\Documents\tecwin\teste\ImportandoTemp\intTecwin_2024-02-29.txt
Linha 223161: [Erro] Código Tributação IPI(Saída) '' inválido
Linha 225528: [Erro] Código Tributação IPI(Saída) '' inválido
Linha 226856: [Erro] Código Tributação IPI(Saída) '' inválido
Linha 227084: [Erro] Código Tributação IPI(Saída) '' inválido
Linha 231704: [Erro] Código Tributação IPI(Saída) '' inválido
Linha 231837: [Erro] Código Tributação IPI(Saída) '' inválido
Linha 243167: [Erro] Código Tributação IPI(Saída) '' inválido
Linha 246246: [Erro] Código Tributação IPI(Saída) '' inválido
Linha 249045: [Erro] Código Tributação IPI(Saída) '' inválido
Linha 249541: [Erro] Código Tributação IPI(Saída) '' inválido
Linha 250500: [Erro] Código Tributação IPI(Saída) '' inválido
Linha 250650: [Erro] Código Tributação IPI(Saída) '' inválido
Linha 250800: [Erro] Código Tributação IPI(Saída) '' inválido
Linha 256249: [Erro] Código Tributação IPI(Saída) '' inválido
Linha 256784: [Erro] Código Tributação IPI(Saída) '' inválido
Linha 257582: [Erro] A classificação atingiu o limite permitido pela máscara.
Linha 259659: [Erro] Código Tributação IPI(Saída) '' inválido
Linha 260683: [Erro] Código Tributação IPI(Saída) '' inválido
Linha 261753: [Erro] Código Tributação IPI(Saída) '' inválido
Linha 263309: [Erro] Código Tributação IPI(Saída) '' inválido
Linha 267614: [Erro] Código Tributação IPI(Saída) '' inválido
Linha 268718: [Erro] Código Tributação IPI(Saída) '' inválido
Linha 271961: [Erro] Código Tributação IPI(Saída) '' inválido
Linha 272875: [Erro] Código Tributação IPI(Saída) '' inválido
Linha 278364: [Erro] A classificação atingiu o limite permitido pela máscara.
Linha 280488: [Erro] Código Tributação IPI(Saída) '' inválido
Linha 281442: [Erro] Código Tributação IPI(Saída) '' inválido
Linha 281962: [Erro] Código Tributação IPI(Saída) '' inválido
Linha 283551: [Erro] Código Tributação IPI(Saída) '' inválido
Linha 286776: [Erro] Código Tributação IPI(Saída) '' inválido
Linha 287972: [Erro] Código Tributação IPI(Saída) '' inválido
Linha 298974: [Erro] Código Tributação IPI(Saída) '' inválido
Linha 301642: [Erro] Código Tributação IPI(Saída) '' inválido
Linha 302056: [Erro] Código Tributação IPI(Saída) '' inválido
Linha 302614: [Erro] Código Tributação IPI(Saída) '' inválido
Linha 303670: [Erro] Código Tributação IPI(Saída) '' inválido
Linha 308826: [Erro] Código Tributação IPI(Saída) '' inválido
Linha 308949: [Erro] A classificação atingiu o limite permitido pela máscara.
Linha 311061: [Erro] Código Tributação IPI(Saída) '' inválido
Linha 315531: [Erro] Código Tributação IPI(Saída) '' inválido
Linha 315597: [Erro] Código Tributação IPI(Saída) '' inválido
Linha 316197: [Erro] Código Tributação IPI(Saída) '' inválido
Linha 320204: [Erro] Código Tributação IPI(Saída) '' inválido
Linha 321310: [Erro] Unidade de medida 'm?' não cadastrada
Linha 321326: [Erro] Unidade de medida 'm?' não cadastrada
Linha 321976: [Erro] Código Tributação IPI(Saída) '' inválido
Linha 322926: [Erro] Código Tributação IPI(Saída) '' inválido
Linha 341946: [Erro] Código Tributação IPI(Saída) '' inválido
Linha 343849: [Erro] Código Tributação IPI(Saída) '' inválido
Linha 356923: [Erro] Código Tributação IPI(Saída) '' inválido
Linha 359719: [Erro] Código Tributação IPI(Saída) '' inválido
Linha 369401: [Erro] Unidade de medida 'M?' não cadastrada
Linha 370881: [Erro] Código Tributação IPI(Saída) '' inválido
